molecule_chembl_id,canonical_smiles,standard_value
CHEMBL126977,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,24.0
CHEMBL127168,N#Cc1ccc(-c2ccc(S[C@H]3CC[C@@H](Cn4c(=O)nc5ccccn5c4=O)[C@@H]3C(=O)O)cc2)cc1,20.0
CHEMBL339588,O=C(O)[C@@H]1[C@@H](Cn2nnc3ccccc3c2=O)CC[C@H]1Sc1ccc(-c2ccc(Cl)cc2)cc1,743.0
CHEMBL127867,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1Cn1nc2ccccn2c1=O,25.0
CHEMBL45357,CC[C@@H](C(=O)NO)N(CC(C)C)S(=O)(=O)c1ccc(OC)cc1,53.0
CHEMBL125104,O=C(O)[C@@H]1[C@@H](SCc2ccc(-c3ccccc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,2.8
CHEMBL340455,O=C(O)[C@@H]1[C@@H](SCCc2ccc(-c3ccc(Cl)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,73.0
CHEMBL339315,O=C(O)[C@@H]1[C@@H](Sc2ccc(-c3c[nH]nn3)cc2)CC[C@H]1Cn1nnc2ccccc2c1=O,100.0
CHEMBL337986,O=C(O)[C@@H]1[C@@H](S(=O)(=O)CCc2ccc(-c3ccc(F)cc3)cc2)CC[C@H]1CN1C(=O)c2ccccc2C1=O,76.0
CHEMBL348878,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCc1ccc(-c2ccc(F)cc2)cc1)CC(=O)NO)C(C)(C)C)c1ccccc1,210.0
CHEMBL356413,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(C(F)(F)F)c1)CC(=O)NO)C(C)(C)C,86.0
CHEMBL154440,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)cc1)CC(=O)NO)C(=O)NC(c1ccccc1)c1ccccc1,310.0
CHEMBL154169,CCc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,6800.0
CHEMBL436230,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(=O)NC(c1ccccc1)c1ccccc1,414.0
CHEMBL347673,CCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c1ccccc1)C(C)(C)C,100.0
CHEMBL154044,CNC(=O)[C@@H](NC(=O)[C@H](CCCc1ccc(-c2ccccc2)c(C)c1)CC(=O)NO)C(C)(C)C,1.0
CHEMBL345306,COc1cc(CCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N[C@H](C)c2ccccc2)C(C)(C)C)ccc1-c1ccccc1,1700.0
